,date,startup,vertical,subvertical,city,investor,round,amount
0,2020-01-09,BYJU’S,edtech,E-learning,bangalore,Tiger Global Management,PrivateEquity,1600.0
1,2020-01-13,Shuttl,transport_mobility,App based shuttle service,delhi,Susquehanna Growth Equity,SeriesC+,64.387152
2,2020-01-09,Mamaearth,ecommerce,Retailer of baby and toddler products,bangalore,Sequoia Capital India,SeriesB,146.87088
3,2020-01-02,wealthbucket,fintech,Online Investment,delhi,Vinod Khatumal,Pre-SeriesA,24.0
4,2020-01-02,Fashor,ecommerce,Embroiled Clothes For Women,mumbai,Sprout Venture Partners,Seed/Angel,14.4
5,2020-01-13,Pando,transport_mobility,"Open-market, freight management platform",chennai,Chiratae Ventures,SeriesA,72.0
6,2020-01-10,Zomato,others,Online Food Delivery Platform,delhi,Ant Financial,PrivateEquity,1200.0
7,2019-12-12,Ecozen,tech,Agritech,pune,Sathguru Catalyzer Advisors,SeriesA,48.0
8,2019-12-06,CarDekho,ecommerce,Automobile,delhi,Ping An Global Voyager Fund,SeriesC+,560.0
9,2019-12-03,Dhruva Space,tech,Satellite Communication,bangalore,"Mumbai Angels, Ravikanth Reddy",Seed/Angel,400.0
10,2019-12-13,Rivigo,tech,Logistics Services and Solutions,delhi,"SAIF Partners, Spring Canter Investment Ltd.",SeriesC+,160.0
11,2019-12-17,Healthians,food,Food Solutions For Corporate,bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",SeriesC+,96.0
12,2019-12-16,Licious,ecommerce,Online Meat And Seafood Ordering Startup,bangalore,Vertex Growth Fund,SeriesC+,240.0
13,2019-12-16,InCred,fintech,Non-Banking Financial Company,mumbai,undisclosed,DebtFunding,47.2
14,2019-12-14,Trell,media_entertainment,Experience Discovery Platform,bangalore,Ruizheng Investment,Seed/Angel,16.0
15,2019-12-11,Rein Games,media_entertainment,Real money based gaming startup,delhi,Manipal Education and Medical Group (MEMG),Seed/Angel,400.0
16,2019-12-20,Lenskart,ecommerce,Online Eyewear Shopping Portal,delhi,SoftBank Vision Fund,SeriesC+,1848.0
17,2019-11-13,Freshworks,tech,Business and customer engagement tools,foreign,"Sequoia, CapitalG, Accel",SeriesC+,1200.0
18,2019-11-14,Misters,health,Men's Health and Wellness brand,delhi,"Sauce.vc, Rainforest Ventures",SeriesB,3.888
19,2019-11-13,Sunstone Eduversity Pvt,edtech,Elearning,delhi,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed/Angel,12.0
20,2019-11-17,Burger Singh,food,Indian Burger Brand,delhi,RB Investments,others,0.0
21,2019-11-18,Healthians,health,Healthcare services,delhi,"DG Daiwa Ventures, DG Incubation",SeriesB,96.0
22,2019-11-15,Ninjacart,enterprise_b2b,Agritech,bangalore,Trifecta Capital Advisors,DebtFunding,208.0
23,2019-11-20,Aye Finance,fintech,Financial Services To MSMEs,delhi,FinTech,DebtFunding,139.29012
24,2019-11-12,SuperGaming,media_entertainment,Social gaming platform,pune,Dream Incubator,Seed/Angel,10.4
25,2019-11-20,Clumio,enterprise_b2b,Recovery software,foreign,"Altimeter Capital, Sutter Hill Ventures",SeriesC+,1080.0
26,2019-11-11,eBikeGo,transport_mobility,Electric bike rental,others,Startup Buddy,Seed/Angel,2.4
27,2019-11-19,Digital Mall Asia,ecommerce,Virtual e-commerce platform,delhi,Amour Infrastructure,Seed/Angel,1760.0
28,2019-11-18,Medikabazaar,health,B2B platform for medical supplies,mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",SeriesB,126.4
29,2019-11-15,Vogo Automotive,transport_mobility,Scooter sharing app,bangalore,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",SeriesB,2264.0
30,2019-11-19,Furtados School of Music,edtech,Music Education,others,IAN Fund and DSG Consumer Partners,,1600.0
31,2019-11-25,Paytm,fintech,Mobile Wallet,delhi,Vijay Shekhar Sharma,Seed/Angel,8000.0
32,2019-10-04,Dunzo,enterprise_b2b,Delivery Service,bangalore,Lightbox,SeriesC+,360.0
33,2019-10-02,Udaan,enterprise_b2b,Business development,bangalore,"Altimeter Capital, DST Global",SeriesC+,4680.0
34,2019-10-21,The Man Company,ecommerce,Beauty and Grooming,delhi,Ayushmann Khurana,others,0.0
35,2019-09-05,FPL Technologies,fintech,Financial Services,pune,"Matrix Partners India, Sequoia India",others,36.0
36,2019-09-04,Cashflo,fintech,Invoice discounting platform and SME lending marketplace,mumbai,SAIF Partners,SeriesA,26.4
37,2019-09-04,Digital F5,media_entertainment,Digital marketing firm,mumbai,TIW Private Equity,PrivateEquity,48.0
38,2019-09-04,3rdFlix,enterprise_b2b,Education Technology,hyderabad,Exfinity Venture Partners,Pre-SeriesA,40.0
39,2019-09-04,75F,tech,Building automation system,foreign,Breakthrough Energy Ventures,SeriesA,144.0
40,2019-09-04,Myelin Foundry,tech,Deep-technology,bangalore,Endiya Partners,Seed/Angel,8.0
41,2019-09-04,Atomberg Technology,tech,"Consumer Electronics, Home Appliances",mumbai,A91 Partners,SeriesA,80.0
42,2019-09-04,GOQii,health,Wearable Fitness Bands,foreign,Bennett Coleman and Company Ltd (BCCL),SeriesC+,3600.0
43,2019-09-03,Vyapar App,fintech,Mobile-based Accounting Software,bangalore,"India Quotient, Axilor Ventures",SeriesA,40.0
44,2019-08-01,CarDekho,ecommerce,Automotive,delhi,SC GG India Mobility Holdings LLC,SeriesC+,160.0
45,2019-08-01,Progcap,fintech,Supply Chain Management,delhi,Sequoia India,SeriesA,40.0
46,2019-08-01,MyPetrolPump,lifestyle_consumer,Fuel Delivery,bangalore,undisclosed,Seed/Angel,12.8
47,2019-08-01,Alteria Capital,fintech,VC Funds,mumbai,"Azim Premji, Binny Bansal",others,1120.0
48,2019-08-01,Pine Labs,tech,Last-mile retail transaction technology,delhi,Pine Labs Pte Ltd,others,304.64
49,2019-08-12,Meesho,ecommerce,Social Commerce,bangalore,Naspers,SeriesC+,1000.0
50,2019-08-13,Cars24,ecommerce,Car Retail,delhi,MS Dhoni,SeriesC+,88.0
51,2019-08-13,Uniphore,enterprise_b2b,Conversational AI,foreign,March Capital Partners,SeriesC+,408.0
52,2019-08-23,Zendrive,transport_mobility,Road Safety Analytics,foreign,XL Innovate,SeriesB,296.0
53,2019-08-23,Lo! Foods,ecommerce,Low carb food for Diabetics,bangalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed/Angel,4.0
54,2019-08-23,Tala,fintech,Digital Lending Platform,foreign,RPS Ventures,SeriesC+,880.0
55,2019-08-22,INDwealth,fintech,Wealth Management,delhi,Tiger Global Management,others,120.0
56,2019-08-21,HungerBox,food,B2B Foodtech,bangalore,One97 Communications Ltd.,SeriesC+,52.72
57,2019-08-23,AdmitKard,edtech,University Admissions,delhi,Growth DNA,Seed/Angel,8.0
58,2019-08-19,Mishry Reviews,enterprise_b2b,Product Review,delhi,Vir Sanghvi,SeriesA,0.0
59,2019-08-19,Grofers,ecommerce,Grocery Delivery,delhi,Softbank Vision Fund,SeriesC+,560.0
60,2019-08-27,Rapido Bike Taxi,transport_mobility,Bike Taxi,bangalore,Westbridge Capital,SeriesB,31200.0
61,2019-07-02,RenewBuy,fintech,Auto Insurance,delhi,"Lok Capital, IIFL Wealth",SeriesB,152.0
62,2019-07-02,Atlan,tech,Big Data,foreign,WaterBridge Ventures,Pre-SeriesA,20.0
63,2019-07-01,WizCounsel,fintech,Consulting,delhi,Kapil Dev,Seed/Angel,1.16
64,2019-07-03,Ola Cabs,transport_mobility,Cabs,bangalore,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",SeriesC+,8.0
65,2019-07-01,Uniphore,tech,Speech Recognition,chennai,March Capital Partners,SeriesC+,304.64
66,2019-07-04,Daalchini Technologies,food,Digital Vending Machine,delhi,Artha Venture,Seed/Angel,4.0
67,2019-07-10,"""BYJU\'S""",edtech,Education,bangalore,Qatar Investment Authority,PrivateEquity,1200.0
68,2019-07-11,Moglix,ecommerce,Industrial Tools and Equipments,foreign,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",SeriesC+,480.0
